,"deklination","stamme"
"mortuus","1./2.","o-/a-stamme"
"multiformis","3.","i-stamme"
"multus","1./2.","o-/a-stamme"
"mundus","1./2.","o-/a-stamme"
"murratus","1./2.","o-/a-stamme"
"musicus","1./2.","o-/a-stamme"
"mutus","1./2.","o-/a-stamme"
"mutuus","1./2.","o-/a-stamme"
"naturalis","3.","i-stamme"
"necessarius","1./2.","o-/a-stamme"
"nequam","indekl","indekl"
"niger","1./2.","o-/a-stamme"
"nimius","1./2.","o-/a-stamme"
"nobilis","3.","i-stamme"
"notus","1./2.","o-/a-stamme"
"novellus","1./2.","o-/a-stamme"
"novissimus","1./2.","o-/a-stamme"
"novus","1./2.","o-/a-stamme"
"nudus","1./2.","o-/a-stamme"
"nummularius","1./2.","o-/a-stamme"
"nuptialis","3.","i-stamme"
"obnoxius","1./2.","o-/a-stamme"
"obvius","1./2.","o-/a-stamme"
"occultus","1./2.","o-/a-stamme"
"odibilis","3.","i-stamme"
"omnipotens","3.","t-stamme"
"omnis","3.","i-stamme"
"onerosus","1./2.","o-/a-stamme"
"opertus","1./2.","o-/a-stamme"
"opportunus","1./2.","o-/a-stamme"
"ostiarius","1./2.","o-/a-stamme"
"otiosus","1./2.","o-/a-stamme"
"pacificus","1./2.","o-/a-stamme"
"pallidus","1./2.","o-/a-stamme"
"par","3.","r-stamme"
"paratus","1./2.","o-/a-stamme"
"parvulus","1./2.","o-/a-stamme"
"parvus","1./2.","o-/a-stamme"
"passibilis","3.","i-stamme"
"paternus","1./2.","o-/a-stamme"
"patiens","3.","t-stamme"
"patrius","1./2.","o-/a-stamme"
"paucus","1./2.","o-/a-stamme"
"pauper","3.","r-stamme"
"pauperculus","1./2.","o-/a-stamme"
"pedester","3.","r-stamme"
"pellicius","1./2.","o-/a-stamme"
"penetrabilis","3.","i-stamme"
"perfectus","1./2.","o-/a-stamme"
"periculosus","1./2.","o-/a-stamme"
"peritus","1./2.","o-/a-stamme"
"perlucidus","1./2.","o-/a-stamme"
"persuasibilis","3.","i-stamme"
"perversus","1./2.","o-/a-stamme"
"pestifer","1./2.","o-/a-stamme"
"Philippensis","3.","i-stamme"
"piger","1./2.","o-/a-stamme"
"pinguis","1./2.","o-/a-stamme"
"pisticus","1./2.","o-/a-stamme"
"pius","1./2.","o-/a-stamme"
"placitus","1./2.","o-/a-stamme"
"planus","1./2.","o-/a-stamme"
"plenus","1./2.","o-/a-stamme"
"Ponticus","1./2.","o-/a-stamme"
"possibilis","3.","i-stamme"
"posterus","1./2.","o-/a-stamme"
"potens","3.","t-stamme"
"potis","3.","i-stamme"
"praegnas","3.","t-stamme"
"praesens","3.","t-stamme"
"praeteritus","1./2.","o-/a-stamme"
"pravus","1./2.","o-/a-stamme"
"pretiosus","1./2.","o-/a-stamme"
"primitivus","1./2.","o-/a-stamme"
"primogenitus","1./2.","o-/a-stamme"
"princeps","3.","p-stamme"
"principalis","3.","i-stamme"
"prior","3.","r-stamme"
"pristinus","1./2.","o-/a-stamme"
"probaticus","1./2.","o-/a-stamme"
"probus","1./2.","o-/a-stamme"
"profundus","1./2.","o-/a-stamme"
"prolixus","1./2.","o-/a-stamme"
"promptus","1./2.","o-/a-stamme"
"prope","indekl.","indekl."
"propitius","1./2.","o-/a-stamme"
"proprius","1./2.","o-/a-stamme"
"prosperus","1./2.","o-/a-stamme"
"proximus","1./2.","o-/a-stamme"
"prudens","3.","t-stamme"
"publicus","1./2.","o-/a-stamme"
"pudicus","1./2.","o-/a-stamme"
"purpureus","1./2.","o-/a-stamme"
"pusillianimis","3.","i-stamme"
"pusillus","1./2.","o-/a-stamme"
"quadrageni","1./2.","o-/a-stamme"
"quadriduanus","1./2.","o-/a-stamme"
"quadrupedius","1./2.","o-/a-stamme"
"quadruplus","1./2.","o-/a-stamme"
"quantus","1./2.","o-/a-stamme"
"quartanus","1./2.","o-/a-stamme"
"quinquageni","1./2.","o-/a-stamme"
"rapax","3.","c-stamme"
"rationabilis","3.","i-stamme"
"rectus","1./2.","o-/a-stamme"
"regius","1./2.","o-/a-stamme"
"religiosus","1./2.","o-/a-stamme"
"reliquus","1./2.","o-/a-stamme"
"repentinus","1./2.","o-/a-stamme"
"repletus","1./2.","o-/a-stamme"
"reprehensibilis","3.","i-stamme"
"reprobus","1./2.","o-/a-stamme"
"residuus","1./2.","o-/a-stamme"
"Romanus","1./2.","o-/a-stamme"
"ruber","1./2.","o-/a-stamme"
"rubicundus","1./2.","o-/a-stamme"
"rudis","3.","i-stamme"
"rufus","1./2.","o-/a-stamme"
"sacerdotalis","3.","i-stamme"
"sacrilegus","1./2.","o-/a-stamme"
"saecularis","3.","i-stamme"
"saevus","1./2.","o-/a-stamme"
"salutaris","3.","i-stamme"
"salvus","1./2.","o-/a-stamme"
"Samaritanus","1./2.","o-/a-stamme"
"sanctus","1./2.","o-/a-stamme"
