,"deklination","stamme"
"Naim","indeklinabel","indeklinabel"
"nardus","2.","o-stamme"
"narratio","3.","n-stamme"
"natalis","3.","i-stamme"
"natatoria","1.","a-stamme"
"natio","3.","n-stamme"
"nativitas","3.","t-stamme"
"natura","1.","a-stamme"
"nauclerius","2.","o-stamme"
"naufragium","2.","o-stamme"
"nauta","1.","a-stamme"
"navicula","1.","a-stamme"
"navigatio","3.","n-stamme"
"navigium","2.","o-stamme"
"navis","3.","i-stamme"
"Nazarenus","2.","o-stamme"
"Nazareus","2.","o-stamme"
"necessitas","3.","t-stamme"
"negotiatio","3.","n-stamme"
"negotiator","3.","r-stamme"
"negotium","2.","o-stamme"
"neomenia","1.","a-stamme"
"nequitia","1.","a-stamme"
"nex","3.","c-stamme"
"nexus","4.","u-stamme"
"Nicolaitae","1.","a-stamme"
"nidus","2.","o-stamme"
"nihilum","2.","o-stamme"
"nimbus","2.","o-stamme"
"Ninevitae","1.","a-stamme"
"nix","3.","v-stamme"
"nomen","3.","n-stamme"
"nomisma","1.","a-stamme"
"notitia","1.","a-stamme"
"novitas","3.","t-stamme"
"nox","3.","t-stamme"
"nubes","3.","i-stamme"
"nuditas","3.","t-stamme"
"numerus","2.","o-stamme"
"nuntius","2.","o-stamme"
"nuptiae","1.","a-stamme"
"nuptus","4.","u-stamme"
"nurus","4.","u-stamme"
"nutrix","3.","c-stamme"
"obitus","4.","u-stamme"
"obiurgatio","3.","n-stamme"
"oblatio","3.","n-stamme"
"obligatio","3.","n-stamme"
"oblivio","3.","n-stamme"
"oboedientia","1.","a-stamme"
"oboeditio","3.","n-stamme"
"obsecratio","3.","n-stamme"
"obsequium","2.","o-stamme"
"observatio","3.","n-stamme"
"obtentus","4.","u-stamme"
"occasio","3.","n-stamme"
"occasus","4.","u-stamme"
"occidens","3.","t-stamme"
"occisio","3.","n-stamme"
"oculus","2.","o-stamme"
"odium","2.","o-stamme"
"odor","3.","r-stamme"
"odoramentum","2.","o-stamme"
"odoratus","4.","u-stamme"
"offendiculum","2.","o-stamme"
"offensa","1.","a-stamme"
"offensio","3.","n-stamme"
"officium","2.","o-stamme"
"oleaster","2. (-er)","o-stamme"
"oleum","2.","o-stamme"
"oliva","1.","a-stamme"
"olivetum","2.","o-stamme"
"omega","1.","a-stamme"
"onus","3.","r-stamme"
"opera","1.","a-stamme"
"operarius","2.","o-stamme"
"operatio","3.","n-stamme"
"opifex","3.","c-stamme"
"opinio","3.","n-stamme"
"opitulatio","3.","n-stamme"
"opportunitas","3.","t-stamme"
"opprobrium","2.","o-stamme"
"opus","3.","r-stamme"
"oratio","3.","n-stamme"
"orator","3.","r-stamme"
"orbis","3.","i-stamme"
"ordinatio","3.","n-stamme"
"ordo","3.","n-stamme"
"orichalcum","2.","o-stamme"
"oriens","3.","t-stamme"
"origo","3.","n-stamme"
"orphanus","2.","o-stamme"
"ortus","4.","u-stamme"
"osculum","2.","o-stamme"
"os I","3.","r-stamme"
"os II","3.","i-stamme"
"ostensio","3.","n-stamme"
"ostiaria","1.","a-stamme"
"ostiarius","2.","o-stamme"
"ostium","2.","o-stamme"
"ovile","3.","i-stamme"
"ovis","3.","i-stamme"
"ovum","2.","o-stamme"
"paedagogus","2.","o-stamme"
"paenitentia","1.","a-stamme"
"paenula","1.","a-stamme"
"palea","1.","a-stamme"
"pallium","2.","o-stamme"
"palma","1.","a-stamme"
"palmes","3.","t-stamme"
"Pamphylia","1.","a-stamme"
"panis","3.","i-stamme"
"pannus","2.","o-stamme"
"par","3.","i-stamme"
"parabola","1.","a-stamme"
"paracletus","2.","o-stamme"
"paradisus","2.","o-stamme"
"paralyticus","2.","o-stamme"
"parasceve","1.","a-stamme"
"pardus","2.","o-stamme"
"parens","3.","t-stamme"
"paries","3.","t-stamme"
"paropsis","3.","d-stamme"
"pars","3.","t-stamme"
"Parthus","2.","o-stamme"
"particeps","3.","p-stamme"
"participatio","3.","n-stamme"
"pascha","1.","a-stamme"
"pascuum","2.","n-stamme"
"passer","3.","r-stamme"
"passio","3.","n-stamme"
"passus","4.","u-stamme"
"pastor","3.","r-stamme"
"pater","3.","r-stamme"
"paternitas","3.","t-stamme"
"patientia","1.","a-stamme"
"patria","1.","a-stamme"
"patriarcha","1.","a-stamme"
"paupertas","3.","t-stamme"
"pavor","3.","r-stamme"
"pax","3.","c-stamme"
"peccator","3.","r-stamme"
"peccatrix","3.","c-stamme"
"peccatum","2.","o-stamme"
"pectus","3.","r-stamme"
"pecunia","1.","a-stamme"
"pecus","3.","r-stamme"
"pedes","3.","t-stamme"
"pelagus","2.","o-stamme"
"pelvis","3.","i-stamme"
"penna","1.","a-stamme"
"pentecoste","1.","a-stamme"
"penuria","1.","a-stamme"
"pera","1.","a-stamme"
"percussor","3.","n-stamme"
"perditio","3.","n-stamme"
"peregrinatio","3.","n-stamme"
"peregrinus","2.","o-stamme"
"periculum","2.","o-stamme"
"peripsema","1.","a-stamme"
"permissus","4.","u-stamme"
"persecutio","3.","n-stamme"
"persona","1.","a-stamme"
"persuasio","3.","n-stamme"
"pes","3.","d-stamme"
"pestilentia","1.","a-stamme"
"petitio","3.","n-stamme"
"petra","1.","a-stamme"
"petrosa","1.","a-stamme"
"Pharisaeus","2.","o-stamme"
"philosophia","1.","a-stamme"
"philosophus","2.","o-stamme"
"phylacterium","2.","o-stamme"
"pietas","3.","t-stamme"
"pignus","3.","r-stamme"
"pilus","2.","o-stamme"
"pinguido","3.","n-stamme"
"pinna","1.","a-stamme"
"pinnaculum","2.","o-stamme"
"piscator","3.","r-stamme"
"pisciculus","2.","o-stamme"
"piscina","1.","a-stamme"
"piscis","3.","i-stamme"
"plaga","1.","a-stamme"
"planctus","4.","u-stamme"
"planta","1.","a-stamme"
"plantatio","3.","n-stamme"
"platea","1.","a-stamme"
"plebs","3.","b-stamme"
"plenitudo","3.","n-stamme"
"ploratus","4.","u-stamme"
"pluvia","1.","a-stamme"
"poculum","2.","o-stamme"
"poderes","3.","i-stamme"
"poena","1.","a-stamme"
"poeta","1.","a-stamme"
"pomum","2.","o-stamme"
"pondus","3.","r-stamme"
"pontifex","3.","c-stamme"
"populus","2.","o-stamme"
"porcus","2.","o-stamme"
"porta","1.","a-stamme"
"portentum","2.","o-stamme"
"porticus","4.","u-stamme"
"portio","3.","n-stamme"
"portus","4.","u-stamme"
"possessio","3.","n-stamme"
"possessor","3.","r-stamme"
"potator","3.","r-stamme"
"potentia","1.","a-stamme"
"potestas","3.","t-stamme"
"potus","4.","u-stamme"
"praeceps","3.","t-stamme"
"praeceptor","3.","r-stamme"
"praeceptum","2.","o-stamme"
"praecessor","3.","r-stamme"
"praecipua","1.","a-stamme"
"praedicatio","3.","n-stamme"
"praedium","3.","o-stamme"
"praefinitio","3.","n-stamme"
"praeparatio","3.","n-stamme"
"praepositus","2.","o-stamme"
"praeputium","2.","o-stamme"
"praescientia","1.","a-stamme"
"praesentia","1.","a-stamme"
"praesepium","2.","o-stamme"
"praeses","3.","d-stamme"
"praetorium","2.","o-stamme"
"praevaricatio","3.","n-stamme"
"praevaricator","3.","r-stamme"
"prandium","2.","o-stamme"
"presbyter","2. (-er)","o-stamme"
"pressura","1.","a-stamme"
"pretium","2.","o-stamme"
"primatus","4.","u-stamme"
"primitiae","1.","a-stamme"
"princeps","3.","p-stamme"
"principatus","4.","u-stamme"
"principium","2.","o-stamme"
"probatio","3.","n-stamme"
"procella","1.","a-stamme"
"proconsul","3.","l-stamme"
"procurator","3.","r-stamme"
"prodigium","2.","o-stamme"
"proditor","3.","r-stamme"
"proelium","2.","o-stamme"
"profectus","4.","u-stamme"
"professio","3.","n-stamme"
"profluvium","2.","o-stamme"
"profundum","2.","o-stamme"
"progenies","5.","e-stamme"
"prohibitio","3.","n-stamme"
"proles","3.","i-stamme"
"promissio","3.","n-stamme"
"promissum","4.","u-stamme"
"promptus","4.","u-stamme"
"propheta","1.","a-stamme"
"prophetatio","3.","n-stamme"
"prophetia","1.","a-stamme"
"prophetissa","1.","a-stamme"
"propitiatio","3.","n-stamme"
"propositio","3.","n-stamme"
"propositum","2.","o-stamme"
"prora","1.","a-stamme"
"proselytus","2.","o-stamme"
"prostitutio","3.","n-stamme"
"proventus","4.","u-stamme"
"proverbium","2.","o-stamme"
"providentia","1.","a-stamme"
"provincia","1.","a-stamme"
"proximum","2.","o-stamme"
"prudentia","1.","a-stamme"
"pruna","1.","a-stamme"
"psalmus","2.","o-stamme"
"pseudoapostolus","2.","o-stamme"
"pseudochristus","2.","o-stamme"
"pseudopropheta","1.","a-stamme"
"publicanus","2.","o-stamme"
"puella","1.","a-stamme"
"puer","2. (-er)","o-stamme"
"pugillaris","3.","i-stamme"
"pugna","1.","a-stamme"
"pullus","2.","o-stamme"
"pulmentarium","2.","o-stamme"
"pulvis","3.","r-stamme"
"puppis","3.","i-stamme"
"purgamentum","2.","o-stamme"
"purgatio","3.","n-stamme"
"purificatio","3.","n-stamme"
"purpura","1.","a-stamme"
"purpuraria","1.","a-stamme"
"puteus","2.","o-stamme"
"pyra","1.","a-stamme"
"Pytho","3.","n-stamme"
"quadrans","3.","t-stamme"
"quadrum","2.","o-stamme"
"quadrupes","3.","d-stamme"
"quaestio","3.","n-stamme"
"quaestus","4.","u-stamme"
"quandrans","3.","t-stamme"
"quaternio","3.","n-stamme"
"querela","1.","a-stamme"
"quies","3.","t-stamme"
"rabbi","indeklinabel","indeklinabel"
"rabboni","indeklinabel","indeklinabel"
"radix","3.","c-stamme"
"raeda","1.","a-stamme"
"ramus","2.","o-stamme"
"rana","1.","a-stamme"
"rapina","1.","a-stamme"
"raptor","3.","r-stamme"
"ratio","3.","n-stamme"
"reconciliatio","3.","n-stamme"
"rector","3.","r-stamme"
"recubitus","4.","u-stamme"
"redargutio","3.","n-stamme"
"redemptio","3.","n-stamme"
"redemptor","3.","r-stamme"
"refectio","3.","n-stamme"
"refrigerium","2.","o-stamme"
"regeneratio","3.","n-stamme"
"regina","1.","a-stamme"
"regio","3.","n-stamme"
"regnum","2.","o-stamme"
"regula","1.","a-stamme"
"regulus","2.","o-stamme"
"religio","3.","n-stamme"
"reliquiae","1.","a-stamme"
"remissio","3.","n-stamme"
"remuneratio","3.","n-stamme"
"renes","3.","n-stamme"
"renovatio","3.","n-stamme"
"reprehensio","3.","n-stamme"
"repromissio","3.","n-stamme"
"reptile","3.","i-stamme"
"repudium","2.","o-stamme"
"requies","3.","t-stamme"
"requietio","3.","n-stamme"
"res","5.","e-stamme"
"resolutio","3.","n-stamme"
"responsum","2.","o-stamme"
"restitutio","3.","n-stamme"
"resurrectio","3.","n-stamme"
"rete","3.","i-stamme"
"retributio","3.","n-stamme"
"reus","2.","o-stamme"
"revelatio","3.","n-stamme"
"reverentia","1.","a-stamme"
"rex","3.","g-stamme"
"rixa","1.","a-stamme"
"Romanus","2.","o-stamme"
"romphea","1.","a-stamme"
"rubor","3.","r-stamme"
"rubus","2.","o-stamme"
"ruga","1.","a-stamme"
"ruina","1.","a-stamme"
"rumor","3.","r-stamme"
"ruta","1.","a-stamme"
"sabbatum","2.","o-stamme"
"sacculus","2.","o-stamme"
"saccus","3.","o-stamme"
"sacerdos","3.","t-stamme"
"sacerdotium","2.","o-stamme"
"sacramentum","2.","o-stamme"
"sacrarium","2.","o-stamme"
"sacrificium","2.","o-stamme"
"sacrilegium","2.","o-stamme"
"Sadducaei","2.","o-stamme"
"saeculum","2.","o-stamme"
"saepes","3.","i-stamme"
"sagena","1.","a-stamme"
"sal","3.","l-stamme"
"salus","3.","t-stamme"
"salutare","3.","i-stamme"
"salutatio","3.","n-stamme"
"salvator","3.","r-stamme"
"Samaritani","2.","o-stamme"
"sanctificatio","3.","n-stamme"
"sanctitas","3.","t-stamme"
"sanctor","3.","r-stamme"
"sanctus","2.","o-stamme"
"sandalium","2.","o-stamme"
"sanguis","3.","i-stamme"
"sanitas","3.","t-stamme"
"sapiens","3.","t-stamme"
"sapientia","1.","a-stamme"
"sapphyrus","2.","o-stamme"
"sarcina","1.","a-stamme"
"sardonix","3.","c-stamme"
"sarmentum","2.","o-stamme"
"sata","1.","a-stamme"
"satum","2.","o-stamme"
"saturitas","3.","t-stamme"
"saxum","2.","o-stamme"
"scabillum","2.","o-stamme"
"scandalum","2.","o-stamme"
"scapha","1.","a-stamme"
"scenopegia","1.","a-stamme"
"schisma","1.","a-stamme"
"scientia","1.","a-stamme"
"scissura","1.","a-stamme"
"scola","1.","a-stamme"
"scopa","1.","a-stamme"
"scorpio","3.","n-stamme"
"scorpios","2.","o-stamme"
"scriba","1.","a-stamme"
"scriptura","1.","a-stamme"
"sculptura","1.","a-stamme"
"scutum","2.","o-stamme"
"secessus","4.","u-stamme"
"secta","1.","a-stamme"
"securis","3.","i-stamme"
"securitas","3.","t-stamme"
"sedes","3.","i-stamme"
"sedile","3.","i-stamme"
"seditio","3.","n-stamme"
"seductio","3.","n-stamme"
"seductor","3.","r-stamme"
"semen","3.","n-stamme"
"sementis","3.","i-stamme"
"semicintium","2.","o-stamme"
"semita","1.","a-stamme"
"senecta","1.","a-stamme"
"senex","3.","n-stamme"
"sensus","4.","u-stamme"
"sententia","1.","a-stamme"
"separatio","3.","n-stamme"
"sepulcrum","2.","o-stamme"
"sepultura","1.","a-stamme"
"sericum","2.","o-stamme"
"sermo","3.","n-stamme"
"serpens","3.","t-stamme"
"servitus","3.","t-stamme"
"servus","2.","o-stamme"
"severitas","3.","t-stamme"
"sicera","1.","a-stamme"
"Sidonii","2.","o-stamme"
"sidus","3.","r-stamme"
"sigillum","2.","o-stamme"
"signaculum","2.","o-stamme"
"signum","2.","o-stamme"
"silentium","2.","o-stamme"
"siliqua","1.","a-stamme"
"silva","1.","a-stamme"
"simila","1.","a-stamme"
"similitudo","3.","n-stamme"
"simplicitas","3.","t-stamme"
"simulacrum","2.","o-stamme"
"simulatio","3.","n-stamme"
"sinapi","3.","i-stamme"
"sinceritas","3.","t-stamme"
"sindon","3.","n-stamme"
"sinistra","1.","a-stamme"
"sinus","4.","u-stamme"
"sitis","3.","i-stamme"
"sobrietas","3.","t-stamme"
"socer","3.","r-stamme"
"societas","3.","t-stamme"
"socius","2.","o-stamme"
"socrus","4.","u-stamme"
"sol","3.","l-stamme"
"solacium","2.","o-stamme"
"solitudo","3.","n-stamme"
"sollicitudo","3.","n-stamme"
"solutio","3.","n-stamme"
"somnium","2.","o-stamme"
"somnus","2.","o-stamme"
"sonitus","4.","u-stamme"
"sonus","2.","o-stamme"
"sordes","3.","i-stamme"
"soror","3.","r-stamme"
"sors","3.","t-stamme"
"spatium","2.","o-stamme"
"species","5.","e-stamme"
"spectaculum","2.","o-stamme"
"speculator","3.","r-stamme"
"speculum","2.","o-stamme"
"spelunca","1.","a-stamme"
"spes","5.","e-stamme"
"spica","1.","a-stamme"
"spina","1.","a-stamme"
"spiritus","4.","u-stamme"
"splendor","3.","r-stamme"
"spolium","2.","o-stamme"
"spongia","1.","a-stamme"
"sponsa","1.","a-stamme"
"sponsor","3.","r-stamme"
"sponsus","2.","o-stamme"
"sporta","1.","a-stamme"
"spuma","1.","a-stamme"
"spurcitia","1.","a-stamme"
"sputum","2.","o-stamme"
"squama","1.","a-stamme"
"stabularius","2.","o-stamme"
"stabulum","2.","o-stamme"
"stadium","2.","o-stamme"
"stagnum","2.","o-stamme"
"stater","3.","r-stamme"
"statera","1.","a-stamme"
"statura","1.","a-stamme"
"stella","1.","a-stamme"
"stercus","3.","r-stamme"
"sterquilinium","2.","o-stamme"
"stigma","1.","a-stamme"
"stimulus","2.","o-stamme"
"stipendium","2.","o-stamme"
"stipula","1.","a-stamme"
"stola","1.","a-stamme"
"stratum","2.","o-stamme"
"stridor","3.","r-stamme"
"structura","1.","a-stamme"
"stultitia","1.","a-stamme"
"stupor","3.","r-stamme"
"suavitas","3.","t-stamme"
"subiugale","3.","i-stamme"
"sublimitas","3.","t-stamme"
"subministratio","3.","n-stamme"
"substantia","1.","a-stamme"
"subtilitas","3.","t-stamme"
"successor","3.","r-stamme"
"sudarium","2.","o-stamme"
"sudor","3.","r-stamme"
"sufficientia","1.","a-stamme"
"sulphur","3.","r-stamme"
"summa","1.","a-stamme"
"sumptus","4.","u-stamme"
"superbia","1.","a-stamme"
"supercilium","2.","o-stamme"
"superscriptio","3.","n-stamme"
"superstitio","3.","n-stamme"
"supplementum","2.","o-stamme"
"supplicium","2.","o-stamme"
"suprascriptio","3.","n-stamme"
"sustentatio","3.","n-stamme"
"sustinentia","1.","a-stamme"
"susurratio","3.","n-stamme"
"susurro","3.","n-stamme"
"sycomorus","2.","o-stamme"
"symphonia","1.","a-stamme"
"synagoga","1.","a-stamme"
"taberna","1.","a-stamme"
"tabernaculum","2.","o-stamme"
"tabula","1.","a-stamme"
"talentum","2.","o-stamme"
"taurus","2.","o-stamme"
"tectum","2.","o-stamme"
"tegula","1.","a-stamme"
"teloneum","2.","o-stamme"
"telum","2.","o-stamme"
"tempestas","3.","t-stamme"
"templum","2.","o-stamme"
"temptatio","3.","n-stamme"
"temptator","3.","r-stamme"
"tempus","3.","r-stamme"
"tenebrae","1.","a-stamme"
"terminus","2.","o-stamme"
"terra","1.","a-stamme"
"terraemotus","4.","u-stamme"
"terror","3.","r-stamme"
"testamentum","2.","o-stamme"
"testimentum","2.","o-stamme"
"testimonium","2.","o-stamme"
"testis","3.","i-stamme"
"tetrarches","1.","a-stamme"
"theatrum","2.","o-stamme"
"thesaurus","2.","o-stamme"
"Thessalonicenses","3.","i-stamme"
"thronus","2.","o-stamme"
"Thyatireni","2.","o-stamme"
"tibia","1.","a-stamme"
"tibicen","3.","n-stamme"
"timor","3.","r-stamme"
"tinea","1.","a-stamme"
"titulus","2.","o-stamme"
"tolerantia","1.","a-stamme"
"tonitruum","2.","o-stamme"
"topazius","2.","o-stamme"
"torcular","3.","i-stamme"
"tormentum","2.","o-stamme"
"torrens","3.","t-stamme"
"tortor","3.","r-stamme"
"trabs","3.","b-stamme"
"traditio","3.","n-stamme"
"traditor","3.","r-stamme"
"tranquillitas","3.","t-stamme"
"transgressio","3.","n-stamme"
"transitus","4.","u-stamme"
"transmigratio","3.","n-stamme"
"tremor","3.","l-stamme"
"tribulatio","3.","n-stamme"
"tribulus","2.","o-stamme"
"tribunal","3.","l-stamme"
"tribunus","2.","o-stamme"
"tribus","2.","o-stamme"
"tributum","2.","o-stamme"
"triduum","2.","o-stamme"
"triennium","2.","o-stamme"
"tristitia","1.","a-stamme"
"triticum","2.","o-stamme"
"tuba","1.","a-stamme"
"tumor","3.","r-stamme"
"tumultus","4.","u-stamme"
"tunica","1.","a-stamme"
"turba","1.","a-stamme"
"turbatio","3.","n-stamme"
"turibulum","2.","o-stamme"
"turpitudo","3.","n-stamme"
"turris","3.","i-stamme"
"turtur","3.","r-stamme"
"tus","3.","r-stamme"
"tutor","3.","r-stamme"
"Tyrii","2.","o-stamme"
"uber","3.","r-stamme"
"ulcus","3.","r-stamme"
"ulna","1.","a-stamme"
"ultio","3.","n-stamme"
"ululatus","4.","u-stamme"
"umbra","1.","a-stamme"
"umerus","2.","o-stamme"
"umor","3.","r-stamme"
"unguentum","2.","o-stamme"
"unitas","3.","t-stamme"
"universitas","3.","t-stamme"
"urbs","3.","b-stamme"
"urceus","2.","o-stamme"
"ursus","2.","o-stamme"
"usura","1.","a-stamme"
"usus","4.","u-stamme"
"uter","3.","i-stamme"
"uterus","2.","o-stamme"
"utilitas","3.","t-stamme"
"uva","1.","a-stamme"
"uxor","3.","r-stamme"
"vacuum","2.","o-stamme"
"vagina","1.","a-stamme"
"valles","3.","i-stamme"
"vallum","2.","o-stamme"
"vanitas","3.","t-stamme"
"vapor","3.","r-stamme"
"vas","3.","d-stamme"
"vectigal","3.","l-stamme"
"velamen","3.","n-stamme"
"velum","2.","o-stamme"
"veneficium","2.","o-stamme"
"venenum","2.","o-stamme"
"venter","3.","r-stamme"
"ventilabrum","2.","o-stamme"
"ventus","2.","o-stamme"
"verbum","2.","o-stamme"
"verecundia","1.","a-stamme"
"veritas","2.","t-stamme"
"vermis","3.","i-stamme"
"versutia","1.","a-stamme"
"verum","2.","o-stamme"
"vesper","3.","r-stamme"
"vespera","1.","a-stamme"
"vestigium","2.","o-stamme"
"vestimentum","2.","o-stamme"
"vestis","3.","i-stamme"
"vestitus","4.","u-stamme"
"vetustas","3.","t-stamme"
"via","1.","a-stamme"
"vicina","1.","a-stamme"
"vicinus","2.","o-stamme"
"vicis","3.","i-stamme"
"victima","1.","a-stamme"
"victoria","1.","a-stamme"
"victus","4.","u-stamme"
"vicus","2.","o-stamme"
"vidua","1.","a-stamme"
"vigilia","1.","a-stamme"
"vilicatio","3.","n-stamme"
"vilicus","2.","o-stamme"
"villa","1.","a-stamme"
"vinctus","4.","u-stamme"
"vinculum","2.","o-stamme"
"vindex","3.","c-stamme"
"vindicta","1.","a-stamme"
"vinea","1.","a-stamme"
"vinum","2.","o-stamme"
"vipera","1.","a-stamme"
"vir","2. (-er)","o-stamme"
"virga","1.","a-stamme"
"virginitas","3.","t-stamme"
"virgo","3.","n-stamme"
"virtus","3.","t-stamme"
"virus","2.","n-stamme"
"vis","3.","i-stamme"
"viscera","3.","r-stamme"
"visio","3.","n-stamme"
"visitatio","3.","n-stamme"
"visum","2.","o-stamme"
"visus","4.","u-stamme"
"vita","1.","a-stamme"
"vitis","3.","i-stamme"
"vitium","2.","o-stamme"
"vitrum","2.","o-stamme"
"vitulus","2.","o-stamme"
"vocatio","3.","n-stamme"
"volatile","3.","i-stamme"
"volucris","3.","r-stamme"
"voluntas","3.","t-stamme"
"voluptas","3.","t-stamme"
"votum","2.","o-stamme"
"vox","3.","c-stamme"
"vulgus","2.","o-stamme"
"vulnus","3.","r-stamme"
"vulpes","3.","i-stamme"
"vultus","4.","u-stamme"
"vulva","1.","a-stamme"
"zelus","2.","o-stamme"
"zizania","1.","a-stamme"
"zmaragdus","2.","o-stamme"
"zona","1.","a-stamme"
