"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,"Tekst"
9,"In","in","preposition",,,,,,,,,"nej",,,,"In Campania villas magnas et pulchras vident"
9,"Campania","Campania","noun",,"singular",,,,"feminine","ablative",,"ja",,"1.","a-stamme",
9,"villas","villa","noun",,"plural",,,,"feminine","accusative",,"ja",,"1.","a-stamme",
9,"magnas","magnus","adjective",,"plural",,,,"feminine","accusative",,"ja",,"1./2.","o-/a-stamme",
9,"et","et","conjunction",,,,,,,,,"nej",,,,
9,"pulchras","pulcher","adjective",,"plural",,,,"feminine","accusative",,"ja",,"1./2.","o-/a-stamme",
9,"vident","video","verb","third_person","plural","present","indicative","active",,,,"ja","2.",,"e-stamme",
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,"Tekst"
10,"Claudia","Claudia","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","Claudia domina villae rusticae est"
10,"domina","domina","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme",
10,"villae","villa","noun",,"singular",,,,"feminine","genitive",,"ja",,"1.","a-stamme",
10,"rusticae","rusticus","adjective",,"singular",,,,"feminine","genitive","positive","ja",,"1./2.","o-/a-stamme",
10,"est","sum","verb","third_person","singular","present","indicative","active",,,,"ja",,,,
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,"Tekst"
11,"villa","villa","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","Villa Claudiae prope Nuceriam sita est"
11,"Claudiae","Claudia","noun",,"singular",,,,"feminine","genitive",,"ja",,"1.","a-stamme",
11,"prope","prope","preposition",,,,,,,,,"nej",,,,
11,"Nuceriam","Nuceria","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme",
11,"sita ","situs","adjective",,"singular",,,,"feminine","nominative",,"ja",,"1./2.","o-/a-stamme",
11,"est","sum","verb","third_person","singular","present","indicative","active",,,,"ja",,,,
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,"Tekst"
12,"Ante ","ante","preposition",,,,,,,,,"nej",,,,"Ante villam Claudiae viam latam videmus; post villam piscina bona et vinea
Ante villam Claudiae viam latam videmus; post villam piscina bona et vinea fecunda sunt"
12,"villam","villa","noun",,"singular",,,,"feminine","accusative",,"ja",,"1.","a-stamme",
12,"Claudiae","Claudia","noun",,"singular",,,,"feminine","genitive",,"ja",,"1.","a-stamme",
